"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2020","150.08","147.97","151.46","147.20","17.81K","-1.05%"
"01/10/2020","151.67","155.84","155.84","147.84","31.88K","-1.06%"
"01/09/2020","153.31","153.31","153.31","153.31","57.66K","5.00%"
"01/08/2020","146.01","139.52","146.01","139.52","153.44K","4.66%"
"01/07/2020","139.51","136.32","139.51","134.40","35.94K","1.39%"
"01/06/2020","137.60","134.54","140.80","134.40","79.69K","-3.57%"
"01/03/2020","142.69","142.72","143.93","140.16","5.47K","-0.02%"
"01/02/2020","142.72","142.08","144.95","138.40","38.91K","0.50%"
"01/01/2020","142.02","142.08","142.08","139.52","3.91K","-0.94%"
"12/31/2019","143.36","144.00","144.00","140.81","6.41K","0.00%"
"12/30/2019","143.36","144.64","144.64","141.45","0.78K","-0.44%"
"12/27/2019","144.00","144.93","145.21","140.80","4.22K","0.00%"
"12/26/2019","144.00","140.48","145.00","140.48","12.03K","1.35%"
"12/24/2019","142.08","135.05","143.94","133.15","18.59K","0.91%"
"12/23/2019","140.80","140.15","140.80","140.80","1.56K","-1.35%"
"12/20/2019","142.72","143.99","143.99","137.66","4.38K","1.37%"
"12/19/2019","140.79","144.06","144.06","138.57","12.97K","-3.47%"
"12/18/2019","145.86","141.60","147.84","141.44","13.75K","-0.04%"
"12/17/2019","145.92","146.56","147.20","145.28","4.22K","-2.15%"
"12/16/2019","149.12","152.64","152.64","148.49","9.53K","-1.48%"
"12/13/2019","151.35","149.12","152.32","147.97","13.28K","1.98%"
"12/12/2019","148.42","147.84","149.12","144.96","24.22K","-1.31%"
"12/11/2019","150.39","150.40","150.40","147.84","5.63K","0.00%"
"12/10/2019","150.40","152.32","152.96","150.40","7.03K","-2.08%"
"12/09/2019","153.60","158.81","158.81","152.96","91.88K","1.55%"
"12/06/2019","151.25","146.49","151.25","146.49","18.75K","3.25%"
"12/05/2019","146.49","142.72","148.48","142.08","221.09K","-0.04%"
"12/04/2019","146.55","144.33","148.42","141.16","21.25K","-0.44%"
"12/03/2019","147.20","153.60","153.60","146.56","15.00K","-5.35%"
"12/02/2019","155.52","155.51","158.72","151.74","96.88K","2.56%"
"11/29/2019","151.64","148.48","151.64","148.48","161.88K","5.00%"
"11/28/2019","144.42","138.88","144.42","138.88","73.44K","4.96%"
"11/27/2019","137.60","133.76","138.24","132.16","20.00K","2.38%"
"11/26/2019","134.40","137.72","138.87","131.90","37.81K","-1.73%"
"11/25/2019","136.77","135.68","140.86","135.68","59.38K","-0.02%"
"11/22/2019","136.79","129.28","137.28","129.28","168.13K","4.26%"
"11/21/2019","131.20","135.99","137.60","126.08","49.84K","-0.70%"
"11/20/2019","132.13","126.72","132.13","126.72","1.33M","5.33%"
"11/19/2019","125.44","127.36","129.86","123.20","42.03K","1.37%"
"11/18/2019","123.75","119.04","123.75","119.04","22.03K","4.01%"
"11/15/2019","118.98","116.15","119.30","115.14","27.03K","4.44%"
"11/14/2019","113.92","113.28","114.75","111.68","23.28K","1.71%"
"11/13/2019","112.00","113.15","116.42","111.36","22.97K","0.94%"
"11/12/2019","110.96","107.44","110.96","107.44","20.94K","5.00%"
"11/11/2019","105.68","102.24","105.68","101.12","35.16K","5.00%"
"11/08/2019","100.64","101.12","101.12","100.64","6.41K","-0.22%"
"11/07/2019","100.86","99.78","101.49","99.68","87.50K","1.35%"
"11/06/2019","99.52","101.75","101.75","98.24","18.13K","1.97%"
"11/05/2019","97.60","98.43","98.44","97.50","2.81K","-0.65%"
"11/04/2019","98.24","98.62","99.19","98.24","5.63K","2.33%"
"11/01/2019","96.00","97.85","97.91","96.00","0.63K","-1.32%"
"10/31/2019","97.28","97.28","97.92","96.64","2.19K","-0.65%"
"10/30/2019","97.92","97.28","97.92","96.32","2.34K","2.00%"
"10/29/2019","96.00","97.28","97.28","96.00","1.09K","-1.77%"
"10/28/2019","97.73","95.68","98.27","95.36","7.19K","3.08%"
"10/25/2019","94.81","94.73","96.80","94.08","1.56K","-0.91%"
"10/24/2019","95.68","95.68","95.68","95.68","0.78K","0.07%"
"10/23/2019","95.62","93.54","95.99","93.54","4.22K","0.95%"
"10/22/2019","94.72","92.09","95.68","92.09","11.72K","3.50%"
"10/21/2019","91.52","93.45","95.36","91.52","14.84K","-3.38%"
"10/18/2019","94.72","96.00","96.00","94.08","9.22K","-0.67%"
"10/17/2019","95.36","96.00","96.28","95.36","5.78K","-0.34%"
"10/16/2019","95.69","99.52","100.29","95.68","52.66K","0.21%"
"10/15/2019","95.49","95.36","98.56","95.36","7.81K","-2.16%"
"10/14/2019","97.60","99.20","100.35","97.60","40.47K","-2.31%"
"10/11/2019","99.91","100.48","102.34","98.24","23.59K","-0.56%"
"10/10/2019","100.47","99.83","102.34","98.56","7.34K","3.25%"
"10/09/2019","97.31","98.24","100.48","96.68","17.03K","0.68%"
"10/08/2019","96.65","100.80","101.12","96.06","34.22K","-6.52%"
"10/07/2019","103.39","99.73","103.39","99.73","65.63K","4.79%"
"10/04/2019","98.67","98.24","98.67","97.20","7.69K","0.27%"
"10/03/2019","98.40","96.54","99.73","96.53","21.00K","-0.27%"
"10/02/2019","98.67","97.25","98.67","96.00","21.38K","0.54%"
"10/01/2019","98.13","98.14","100.21","97.34","12.75K","-1.60%"
"09/30/2019","99.73","101.34","102.40","99.20","10.88K","-0.67%"
"09/27/2019","100.41","99.31","102.39","99.31","21.56K","1.22%"
"09/26/2019","99.20","96.05","99.73","93.33","89.81K","3.33%"
"09/25/2019","96.00","93.97","99.24","93.97","505.88K","0.84%"
"09/24/2019","95.20","93.33","95.47","92.80","19.31K","2.59%"
