"Date","Price","Open","High","Low","Vol.","Change %"
"01/16/2026","493.86","488.10","500.12","488.10","1.50M","1.29%"
"01/15/2026","487.58","490.02","495.00","485.00","818.90K","-0.49%"
"01/14/2026","490.00","500.26","502.00","487.11","1.68M","-2.02%"
"01/13/2026","500.09","494.20","506.00","488.00","1.68M","1.81%"
"01/12/2026","491.18","498.30","499.97","490.00","1.11M","-1.43%"
"01/09/2026","498.30","507.00","508.27","492.00","1.89M","-1.88%"
"01/08/2026","507.84","514.49","516.88","504.55","2.15M","-0.84%"
"01/07/2026","512.15","508.80","515.23","506.01","2.46M","0.66%"
"01/06/2026","508.80","490.50","514.00","489.00","6.69M","4.19%"
"01/05/2026","488.36","478.50","498.99","478.50","3.37M","2.07%"
"01/02/2026","478.44","483.99","486.65","472.00","1.49M","-0.54%"
"01/01/2026","481.02","476.01","492.00","476.01","1.56M","1.28%"
"12/31/2025","474.96","492.00","492.00","470.00","3.11M","-2.52%"
"12/30/2025","487.24","487.00","492.00","486.10","1.12M","0.10%"
"12/29/2025","486.74","489.89","495.00","484.80","941.68K","0.08%"
"12/26/2025","486.36","491.89","497.80","485.00","1.28M","-0.83%"
"12/24/2025","490.42","495.01","502.00","487.96","1.66M","-3.69%"
"12/23/2025","509.20","510.00","520.00","505.10","1.27M","-0.68%"
"12/22/2025","512.70","498.99","529.50","495.00","3.87M","2.74%"
"12/19/2025","499.04","485.67","503.04","485.67","2.92M","2.79%"
"12/18/2025","485.49","479.11","495.03","477.00","1.46M","1.86%"
"12/17/2025","476.63","488.80","490.50","471.20","1.40M","-2.39%"
"12/16/2025","488.30","491.98","500.00","487.50","1.14M","-0.06%"
"12/15/2025","488.60","490.00","496.00","487.02","697.63K","-0.05%"
"12/12/2025","488.82","487.24","492.77","481.00","761.29K","0.32%"
"12/11/2025","487.24","495.00","496.00","484.52","1.03M","-2.02%"
"12/10/2025","497.28","485.92","504.00","485.27","2.63M","2.34%"
"12/09/2025","485.92","479.45","488.70","473.49","1.64M","2.07%"
"12/08/2025","476.06","475.00","477.98","471.50","755.30K","0.10%"
"12/05/2025","475.60","478.00","478.00","468.01","1.48M","0.88%"
"12/04/2025","471.44","469.00","472.98","465.00","568.53K","0.07%"
"12/03/2025","471.13","480.00","480.00","466.00","973.67K","-1.17%"
"12/02/2025","476.71","468.99","481.40","463.25","4.15M","2.44%"
"12/01/2025","465.35","464.00","469.00","455.00","2.45M","1.55%"
"11/28/2025","458.24","453.50","460.48","452.00","1.91M","1.47%"
"11/27/2025","451.58","438.07","457.00","438.00","1.94M","3.41%"
"11/26/2025","436.70","427.50","440.00","423.50","1.20M","1.43%"
"11/25/2025","430.53","428.10","433.45","423.00","606.82K","0.83%"
"11/24/2025","426.98","428.01","431.00","421.87","984.02K","-0.34%"
"11/21/2025","428.42","431.00","435.00","426.50","838.51K","-0.32%"
"11/20/2025","429.78","430.00","432.89","426.10","644.55K","0.40%"
"11/19/2025","428.08","430.24","434.50","426.91","911.24K","-0.50%"
"11/18/2025","430.24","435.99","436.00","425.00","1.24M","-0.55%"
"11/17/2025","432.63","445.10","447.90","431.00","1.12M","-2.21%"
"11/14/2025","442.41","448.11","450.89","441.51","997.26K","-0.78%"
"11/13/2025","445.90","425.01","449.00","425.01","2.58M","5.08%"
"11/12/2025","424.34","430.00","434.00","422.00","1.13M","-1.46%"
"11/11/2025","430.62","441.00","443.99","430.00","1.37M","-2.45%"
"11/10/2025","441.42","441.99","446.50","439.00","708.04K","0.36%"
"11/07/2025","439.84","440.00","445.00","432.55","682.62K","0.04%"
"11/06/2025","439.66","443.95","444.84","427.99","1.70M","-0.53%"
"11/05/2025","442.02","455.85","455.85","440.01","1.12M","-2.80%"
"11/04/2025","454.76","460.00","462.05","449.82","718.54K","-1.12%"
"11/03/2025","459.92","465.00","465.48","458.00","709.29K","0.01%"
"10/31/2025","459.87","450.00","462.00","450.00","754.89K","3.13%"
"10/30/2025","445.93","442.00","452.85","442.00","1.12M","0.83%"
"10/29/2025","442.28","452.51","458.00","440.00","736.92K","-2.29%"
"10/28/2025","452.64","455.00","464.90","450.51","1.41M","1.67%"
"10/27/2025","445.20","452.32","452.32","443.80","388.95K","-1.57%"
"10/24/2025","452.32","451.78","455.00","443.02","510.12K","0.12%"
"10/23/2025","451.78","457.99","460.00","450.00","635.35K","-1.75%"
"10/22/2025","459.85","462.30","463.75","457.11","861.47K","-0.55%"
"10/21/2025","462.41","463.01","465.00","458.01","718.85K","-0.01%"
"10/20/2025","462.45","465.00","467.50","456.00","666.06K","0.56%"
"10/17/2025","459.89","457.00","463.00","451.12","986.84K","1.17%"
"10/16/2025","454.59","458.35","465.95","452.10","1.59M","-0.86%"
"10/15/2025","458.55","468.00","470.01","454.05","1.87M","-1.84%"
"10/14/2025","467.16","440.00","472.00","440.00","1.94M","8.29%"
"10/13/2025","431.38","441.00","450.00","425.00","2.57M","-3.78%"
"10/10/2025","448.34","450.00","460.00","443.00","1.11M","-0.56%"
"10/09/2025","450.88","445.11","463.49","445.11","1.48M","1.56%"
"10/08/2025","443.95","457.00","459.99","440.00","2.59M","-2.67%"
"10/07/2025","456.11","475.77","475.77","455.00","1.49M","-3.09%"
"10/06/2025","470.65","472.50","474.00","467.00","827.39K","-0.73%"
"10/03/2025","474.12","475.00","479.79","473.01","837.16K","0.42%"
"10/02/2025","472.14","479.00","484.99","470.10","1.57M","-1.45%"
"10/01/2025","479.07","478.89","483.00","469.55","996.09K","0.67%"
